GEOID,County,Total_Renter_Households,Cost_Burdened_Renters,Pct_Cost_Burdened_Renters
12057011416,Hillsborough,915,370,40.4
12057011417,Hillsborough,1080,664,61.5
12057011418,Hillsborough,390,125,32.1
12057011504,Hillsborough,155,78,50.3
12057011506,Hillsborough,1565,455,29.1
12057011509,Hillsborough,155,70,45.2
12057011510,Hillsborough,120,54,45.0
12057011512,Hillsborough,110,70,63.6
12057011514,Hillsborough,270,95,35.2
12057011515,Hillsborough,130,40,30.8
12057011516,Hillsborough,500,185,37.0
12057011518,Hillsborough,110,10,9.1
12057011519,Hillsborough,55,19,34.5
12057011520,Hillsborough,755,285,37.7
12057011521,Hillsborough,1880,845,44.9
12057011522,Hillsborough,210,90,42.9
12057011523,Hillsborough,15,8,53.3
12057011524,Hillsborough,1635,920,56.3
12057011525,Hillsborough,580,390,67.2
12057011526,Hillsborough,650,170,26.2
12057011527,Hillsborough,45,15,33.3
12057011528,Hillsborough,210,60,28.6
12057011603,Hillsborough,425,225,52.9
12057011605,Hillsborough,690,435,63.0
12057011610,Hillsborough,955,550,57.6
12057011611,Hillsborough,445,250,56.2
12057011612,Hillsborough,1040,425,40.9
