GEOID,County,Total_Renter_Households,Cost_Burdened_Renters,Pct_Cost_Burdened_Renters
12103024002,Pinellas,310,160,51.6
12103024004,Pinellas,215,45,20.9
12103024005,Pinellas,80,38,47.5
12103024100,Pinellas,895,325,36.3
12103024201,Pinellas,155,65,41.9
12103024202,Pinellas,250,105,42.0
12103024301,Pinellas,325,50,15.4
12103024302,Pinellas,400,140,35.0
12103024403,Pinellas,695,339,48.8
12103024406,Pinellas,2750,1305,47.5
12103024408,Pinellas,1115,435,39.0
12103024409,Pinellas,80,44,55.0
12103024410,Pinellas,1195,714,59.7
12103024411,Pinellas,505,185,36.6
12103024412,Pinellas,2165,900,41.6
12103024413,Pinellas,705,295,41.8
12103024505,Pinellas,505,270,53.5
12103024507,Pinellas,415,230,55.4
12103024508,Pinellas,1220,880,72.1
12103024509,Pinellas,525,183,34.9
12103024510,Pinellas,605,364,60.2
12103024512,Pinellas,245,145,59.2
12103024514,Pinellas,1615,810,50.2
12103024515,Pinellas,365,89,24.4
12103024516,Pinellas,235,120,51.1
12103024517,Pinellas,1245,495,39.8
12103024518,Pinellas,875,354,40.5
12103024519,Pinellas,1615,505,31.3
12103024601,Pinellas,520,164,31.5
12103024603,Pinellas,455,250,54.9
12103024604,Pinellas,530,245,46.2
12103024701,Pinellas,700,300,42.9
12103024702,Pinellas,555,264,47.6
12103024703,Pinellas,475,139,29.3
12103024801,Pinellas,250,95,38.0
12103024803,Pinellas,75,45,60.0
12103024804,Pinellas,370,200,54.1
12103024805,Pinellas,225,150,66.7
12103024901,Pinellas,615,320,52.0
12103024904,Pinellas,405,275,67.9
12103024905,Pinellas,655,215,32.8
12103024906,Pinellas,695,475,68.3
12103024907,Pinellas,725,395,54.5
12103024908,Pinellas,195,90,46.2
12103025004,Pinellas,840,330,39.3
12103025007,Pinellas,470,310,66.0
12103025009,Pinellas,580,285,49.1
12103025011,Pinellas,95,4,4.2
12103025012,Pinellas,215,70,32.6
12103025013,Pinellas,155,130,83.9
12103025014,Pinellas,370,190,51.4
12103025015,Pinellas,210,90,42.9
12103025016,Pinellas,225,103,45.8
12103025017,Pinellas,430,170,39.5
12103025018,Pinellas,380,180,47.4
12103025019,Pinellas,205,125,61.0
12103025020,Pinellas,465,60,12.9
12103025021,Pinellas,70,10,14.3
12103025106,Pinellas,540,135,25.0
12103025107,Pinellas,375,95,25.3
12103025108,Pinellas,140,99,70.7
12103025109,Pinellas,710,250,35.2
12103025110,Pinellas,395,245,62.0
12103025111,Pinellas,730,460,63.0
12103025112,Pinellas,430,184,42.8
12103025113,Pinellas,255,50,19.6
12103025114,Pinellas,170,90,52.9
12103025115,Pinellas,655,334,51.0
12103025116,Pinellas,230,123,53.5
12103025119,Pinellas,195,80,41.0
12103025120,Pinellas,20,10,50.0
12103025121,Pinellas,220,60,27.3
12103025122,Pinellas,160,90,56.2
12103025123,Pinellas,50,8,16.0
12103025204,Pinellas,440,229,52.0
12103025205,Pinellas,120,70,58.3
12103025207,Pinellas,555,375,67.6
12103025208,Pinellas,150,69,46.0
12103025209,Pinellas,845,365,43.2
12103025210,Pinellas,260,144,55.4
12103025211,Pinellas,660,470,71.2
12103025303,Pinellas,930,355,38.2
12103025305,Pinellas,525,320,61.0
12103025307,Pinellas,350,165,47.1
12103025309,Pinellas,350,190,54.3
12103025310,Pinellas,200,95,47.5
12103025311,Pinellas,220,110,50.0
12103025401,Pinellas,715,475,66.4
12103025407,Pinellas,925,545,58.9
12103025411,Pinellas,340,139,40.9
12103025412,Pinellas,755,320,42.4
12103025413,Pinellas,280,160,57.1
12103025414,Pinellas,390,155,39.7
12103025415,Pinellas,400,200,50.0
12103025416,Pinellas,810,235,29.0
12103025417,Pinellas,150,120,80.0
12103025418,Pinellas,285,135,47.4
12103025419,Pinellas,795,235,29.6
12103025420,Pinellas,870,528,60.7
12103025421,Pinellas,695,430,61.9
12103025501,Pinellas,265,34,12.8
12103025505,Pinellas,700,440,62.9
12103025507,Pinellas,535,415,77.6
12103025508,Pinellas,475,268,56.4
12103025509,Pinellas,770,265,34.4
12103025510,Pinellas,130,15,11.5
12103025602,Pinellas,500,385,77.0
12103025603,Pinellas,435,290,66.7
12103025604,Pinellas,230,128,55.7
12103025700,Pinellas,165,95,57.6
12103025800,Pinellas,665,315,47.4
12103025901,Pinellas,1450,775,53.4
12103025902,Pinellas,650,460,70.8
12103026001,Pinellas,370,205,55.4
12103026003,Pinellas,165,140,84.8
12103026004,Pinellas,65,48,73.8
12103026101,Pinellas,360,213,59.2
12103026102,Pinellas,165,80,48.5
12103026200,Pinellas,685,410,59.9
12103026300,Pinellas,1295,790,61.0
12103026401,Pinellas,475,290,61.1
12103026402,Pinellas,960,460,47.9
12103026501,Pinellas,310,220,71.0
12103026502,Pinellas,480,250,52.1
12103026601,Pinellas,355,140,39.4
12103026602,Pinellas,395,144,36.5
12103026701,Pinellas,660,390,59.1
12103026703,Pinellas,1280,555,43.4
12103026704,Pinellas,855,245,28.7
12103026705,Pinellas,560,355,63.4
12103026804,Pinellas,670,245,36.6
12103026809,Pinellas,485,305,62.9
12103026811,Pinellas,360,190,52.8
12103026812,Pinellas,745,380,51.0
12103026813,Pinellas,430,210,48.8
12103026814,Pinellas,65,39,60.0
12103026815,Pinellas,80,25,31.2
12103026816,Pinellas,660,210,31.8
12103026817,Pinellas,385,95,24.7
12103026818,Pinellas,1090,714,65.5
12103026819,Pinellas,710,329,46.3
12103026820,Pinellas,515,185,35.9
12103026821,Pinellas,225,100,44.4
12103026904,Pinellas,1085,620,57.1
12103026908,Pinellas,55,15,27.3
12103026909,Pinellas,575,310,53.9
12103026911,Pinellas,380,209,55.0
12103026912,Pinellas,620,445,71.8
12103026913,Pinellas,460,260,56.5
12103026914,Pinellas,325,190,58.5
12103026915,Pinellas,545,195,35.8
12103026916,Pinellas,380,240,63.2
12103026917,Pinellas,340,10,2.9
12103027000,Pinellas,945,560,59.3
12103027105,Pinellas,210,115,54.8
12103027106,Pinellas,235,145,61.7
12103027107,Pinellas,280,59,21.1
12103027108,Pinellas,635,350,55.1
12103027202,Pinellas,445,180,40.4
12103027204,Pinellas,230,100,43.5
12103027206,Pinellas,320,195,60.9
12103027207,Pinellas,240,85,35.4
12103027208,Pinellas,405,185,45.7
12103027209,Pinellas,265,188,70.9
12103027210,Pinellas,645,365,56.6
12103027211,Pinellas,470,255,54.3
12103027212,Pinellas,815,520,63.8
12103027308,Pinellas,300,180,60.0
12103027309,Pinellas,10,0,0.0
12103027314,Pinellas,665,455,68.4
12103027316,Pinellas,240,50,20.8
12103027317,Pinellas,695,325,46.8
12103027318,Pinellas,415,305,73.5
12103027319,Pinellas,570,305,53.5
12103027320,Pinellas,340,190,55.9
12103027321,Pinellas,40,19,47.5
12103027323,Pinellas,935,535,57.2
12103027324,Pinellas,180,40,22.2
12103027325,Pinellas,55,14,25.5
12103027326,Pinellas,520,194,37.3
12103027327,Pinellas,500,324,64.8
12103027328,Pinellas,20,15,75.0
12103027329,Pinellas,10,10,100.0
12103027330,Pinellas,815,640,78.5
12103027331,Pinellas,275,215,78.2
12103027332,Pinellas,115,55,47.8
12103027333,Pinellas,800,365,45.6
12103027401,Pinellas,395,150,38.0
12103027404,Pinellas,1090,560,51.4
12103027501,Pinellas,190,90,47.4
12103027503,Pinellas,215,30,14.0
12103027504,Pinellas,310,190,61.3
12103027603,Pinellas,355,135,38.0
12103027604,Pinellas,110,20,18.2
12103027605,Pinellas,50,22,44.0
12103027606,Pinellas,145,73,50.3
12103027701,Pinellas,260,106,40.8
12103027703,Pinellas,40,8,20.0
12103027704,Pinellas,190,75,39.5
12103027801,Pinellas,230,144,62.6
12103027802,Pinellas,575,405,70.4
12103027901,Pinellas,275,119,43.3
12103027905,Pinellas,545,350,64.2
12103028002,Pinellas,340,130,38.2
12103028004,Pinellas,325,40,12.3
12103028005,Pinellas,140,90,64.3
12103028006,Pinellas,365,119,32.6
12103028102,Pinellas,420,325,77.4
12103028103,Pinellas,755,335,44.4
12103028104,Pinellas,530,350,66.0
12103028200,Pinellas,150,60,40.0
12103028300,Pinellas,590,255,43.2
12103028403,Pinellas,545,290,53.2
12103028500,Pinellas,295,170,57.6
12103028601,Pinellas,1975,945,47.8
12103028602,Pinellas,585,325,55.6
12103028700,Pinellas,275,135,49.1
12103990000,Pinellas,0,0,
12103990100,Pinellas,0,0,
